LEI,Entity.LegalName,Entity.LegalAddress.City,Entity.LegalAddress.Country,Registration.RegistrationStatus
029200258F9S9WI5J946,SECURITIES AND CAPITAL MANAGEMENT COMPANY LIMITED,LAGOS,NG,LAPSED
0292002595F3Q7UF5D85,VETIVA CAPITAL MANAGEMENT LIMITED,LAGOS,NG,ISSUED
029200261G6Q56G8FG36,UNION BANK OF NIGERIA PLC,LAGOS,NG,LAPSED
0292002628D6N7A6I340,OOHRHII GLOBAL SERVICES LTD,IBADAN,NG,LAPSED
0292002658J9P5CI9J88,FSDH MERCHANT BANK LIMITED,LAGOS ISLAND,NG,ISSUED
029200268F8M5YI5I629,ZENITH BANK PLC,LAGOS,NG,ISSUED
0292002698C7O8D8I276,GERGETI LIMITED,LAGOS,NG,ISSUED
0292002717G4T0CH6E65,FBNQUEST MERCHANT BANK LIMITED,IKOYI,NG,LAPSED
029200272C8R6X82I858,CORONATION MERCHANT BANK LIMITED,LAGOS,NG,ISSUED
029200273B1P7D1B7H95,TRANS-NATIONWIDE EXPRESS PLC,LAGOS,NG,LAPSED
029200283J1LD9B53J33,NEM INSURANCE PLC,LAGOS,NG,ISSUED
029200298A5K5WI0F567,FIDELITY BANK PLC,LAGOS,NG,ISSUED
029200302D4K9BC3E535,NIGERIA INTERNATIONAL BANK NOMINEES LIMITED,LAGOS,NG,RETIRED
0292003053E9T6XD4J69,ZENITH NOMINEES LIMITED,LAGOS,NG,ISSUED
029200312A6K5CC0G563,UBA NOMINEE LIMITED,LAGOS,NG,LAPSED
029200324B5N5B01F690,AXA MANSARD INSURANCE PLC,LAGOS,NG,ISSUED
029200325G5L3B56F539,FIRST PENSION CUSTODIAN NIGERIA LIMITED,IKOYI,NG,ISSUED
0292003272D0K9BC3A91,VETIVA TRUSTEES LIMITED,LAGOS,NG,ISSUED
029200328C3N9YI2D660,ACCESS BANK PLC,LAGOS,NG,ISSUED
0292003338A5N7X3I053,EDC FUND MANAGEMENT LIMITED,LAGOS,NG,LAPSED
029200334G7R8B36H825,ZENITH PENSIONS CUSTODIAN LIMITED,LAGOS,NG,LAPSED
